话题,用户链接,用户名,博文链接,发博时间,发博IP,博文内容,点赞数,评论数,转发数,用户性别,用户粉丝数,用户身份认证
21岁重庆男子跳江,https://weibo.com/7623214127?refer_flag=1001030103_,江卓尔_大号,https://weibo.com/7623214127/Odd5Q5zQQ?refer_flag=1001030103_,Tue May 07 20:00:01 +0800 2024,发布于 中国香港,在#21岁重庆男子跳江##胖猫谭竹#事件后，你对「钱是给女人看的，不是给女人花的」这句话的态度是？你对「钱是给女人看的，不是给女人花的」这句话的态度是？不知道这事情的看这几条微博：给女方转账4539元有零有整微博正文自己骗自己发表情包微博正文吃10块钱的外卖微博正文​,4797,56,11,m,179927,情感博主
21岁重庆男子跳江,https://weibo.com/1820578701?refer_flag=1001030103_,斯库里,https://weibo.com/1820578701/OcxFCBYCZ?refer_flag=1001030103_,Fri May 03 10:32:49 +0800 2024,发布于 北京,#21岁重庆男子跳江#在这个话提下，诸多微博的评论区里。非常清楚且坚定支持——“这是好人和坏人，跟性别没关系！”“这是诈骗犯和受害者，跟性别没关系！”等等道理的人，那还是不少的嘛。​,713,63,39,m,1573898,文学评论家、影视评论达人斯库里，出版作品有《北京镜鉴记》《生命》等  2022年辰星计划博主
21岁重庆男子跳江,https://weibo.com/5636136297?refer_flag=1001030103_,瘦不了的中医肥猫,https://weibo.com/5636136297/Ocpss6MaC?refer_flag=1001030103_,Thu May 02 13:38:23 +0800 2024,发布于 安徽,#21岁重庆男子跳江#刚在厨房做辣椒酱，突然刷到这个话题，我先以为工作学业的抑郁症，点开一看，我的妈，男生也有这样的恋爱脑？我看了下女的写的小作文，刚看了个头我就想把它掐死，🍵渣这种茶婊就得老肥猫去治，手段多了去了，去它单位小区拉个横幅打个滚撒个泼挑个楼，再跟我们前党委书记一样​展开c,345,19,3,f,861620,浦口白露中医门诊部中医科医师
21岁重庆男子跳江,https://weibo.com/2720794063?refer_flag=1001030103_,长白云之乡的旅人,https://weibo.com/2720794063/Og4fLCMgS?refer_flag=1001030103_,Sun May 26 15:00:41 +0800 2024,发布于 新西兰,最近十多天里，桥上的30个红色沙箱和“安全值守人”引起市民关注，工作人员每天24小时不间断巡视，用辛劳、劝慰换回了迷失者的平安。#21岁重庆男子跳江#网上一段34秒视频显示，宽阔的桥面上每隔数十米远就有一个红色沙箱，一些穿着黄色制服的人在桥上巡逻，他们中有的累了便坐在上面休息，有的倚在​展开c,6,1,1,m,204366,旅游博主
21岁重庆男子跳江,https://weibo.com/7372386521?refer_flag=1001030103_,一颗看起来呆呆傻傻的RanZ,https://weibo.com/7372386521/Ofln8AKRc?refer_flag=1001030103_,Tue May 21 20:45:14 +0800 2024,发布于 湖北,一群“纯爱战士”不知道还在硬争什么，这个时候就算是p猫复活过来当面澄清他们都能说是被pua太狠了……警方通告那么清楚了一个个还在固执的只相信自己认为的，是不这么做会显得自己之前的行为很打脸很可笑吗谁和你们一样恋爱拿计算机谈啊我真是要笑死了#21岁重庆男子跳江#​展开c,5,7,0,m,9,
21岁重庆男子跳江,https://weibo.com/2886596437?refer_flag=1001030103_,小红驴,https://weibo.com/2886596437/Of9jdvxFp?refer_flag=1001030103_,Mon May 20 14:02:35 +0800 2024,发布于 江苏,普法公告1.不要全收，收8退22.记得朋友圈公开3.要口头拒绝，再收款4.不要找极端恋爱脑#婚姻与爱情的本质是什么##21岁重庆男子跳江##警方通报胖猫与谭某经济往来情况#​,0,0,0,m,5444,
21岁重庆男子跳江,https://weibo.com/2650868757?refer_flag=1001030103_,生活多巴胺,https://weibo.com/2650868757/Of8o4gXbv?refer_flag=1001030103_,Mon May 20 11:41:48 +0800 2024,发布于 湖北,#21岁重庆男子跳江#三年学说话一生学闭嘴热搜只能看不能信更别评媒体的舆论引导作用确实强大只要嗅到一丝热点便开始运作接着我们就进入到它设定的轨道​,0,5,0,m,89,
21岁重庆男子跳江,https://weibo.com/7800820626?refer_flag=1001030103_,别管我nmnm,https://weibo.com/7800820626/Of5b5bFas?refer_flag=1001030103_,Mon May 20 03:31:34 +0800 2024,发布于 云南,#21岁重庆男子跳江#还好我一开始就不信，符合刻板印象😎​,1,0,0,f,87,
21岁重庆男子跳江,https://weibo.com/5904559267?refer_flag=1001030103_,Johna丶,https://weibo.com/5904559267/Of4xgmwxV?refer_flag=1001030103_,Mon May 20 01:53:28 +0800 2024,发布于 江苏,结果反转了，舒服了#胖猫事件##21岁重庆男子跳江#​,0,1,0,f,1,
21岁重庆男子跳江,https://weibo.com/5288789067?refer_flag=1001030103_,彼时花未名px,https://weibo.com/5288789067/Of3LQ2QSW?refer_flag=1001030103_,Sun May 19 23:56:38 +0800 2024,发布于 河南,#21岁重庆男子跳江#感谢这个反转热搜！我顺着热门拉黑了好多大v​,1,0,0,f,69,
